X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-96.994861,20.754667,train,5.457998688144553E-5,11.52602875022209,0.3034511367755386
-88.185732,16.629784,train,1.644200561858613E-4,60.271602731970596,0.5675445292929858
-94.808361,18.539778,train,4.349213249395792E-5,5.353880593956822,0.25769096991393314
-96.174165,19.246669,train,3.9696451044412995E-5,4.316782895191526,0.24061279205416403
-88.14775,16.944769,train,1.6420125842518253E-4,60.193917303458036,0.5672176724809563
-88.07608,16.790478,train,1.6900626825535307E-4,61.7440930153016,0.5742839001742159
-64.96644,18.27947,train,6.585764007747526E-5,24.291889104557313,0.34454856055310634
-64.83592,18.32323,train,6.509086669982557E-5,23.52997481746224,0.34190859951655955
-64.84812,18.35835,train,6.475776809739632E-5,23.196662611735082,0.34075512090693644
-65.03217,18.36054,train,6.546482949975012E-5,23.878144268871644,0.3431987855008875
-64.68713,18.34403,train,6.410820918471727E-5,22.430126034285035,0.3384941093561372
-64.77394,18.36764,train,6.440389627331417E-5,22.837687342501507,0.3395252693078861
-65.0863,18.25923,train,6.624402386962341E-5,24.64428152482396,0.3458708504476095
-64.7574,18.27609,train,6.47109543893466E-5,23.147041482663177,0.3405926867641894
-64.95516,18.32792,train,6.547350093464805E-5,23.8866326082979,0.34322864227440497
-64.91251,18.4065,train,6.511151400434171E-5,23.548702900293147,0.3419799656962767
-65.06075,18.3783,train,6.581841819599698E-5,24.254523115003,0.34441403575604584
-64.85204,18.23725,train,6.543623821053808E-5,23.850156678545154,0.343100323084865
-65.12775,18.28588,train,6.66326662501526E-5,24.95665413692057,0.3471954986510472
-81.49292,24.578896,train,1.2568476902181727E-4,50.83434071854069,0.5007980784109521
-64.5353,18.3694,train,6.338091746866977E-5,21.26502341529771,0.3359440470890068
-68.961165,12.033449,train,2.126432599966377E-4,74.8306925458037,0.6292571505133616
-86.728759,20.83077,train,6.587828163090436E-4,98.80022476400201,0.8402124011182597
-68.852741,12.17859,train,1.996337004465037E-4,71.63640282916319,0.6144127808412276
-94.872278,18.551417,train,4.221631578705839E-5,4.987859946766409,0.2520369553414427
-65.27829,18.229872,train,6.752300568384234E-5,25.623113162150904,0.35021000030607213
-68.417,18.7006,train,9.733710816235478E-5,40.82801434338336,0.4372318009630841
-96.038703,19.100587,train,4.0546534258909066E-5,4.5175763174324155,0.24450557095909198
-87.24115,19.519564,train,5.059179962660123E-4,95.07679068654136,0.801514970497557
-80.273755,25.140576,train,3.906783650936865E-4,92.51953676697752,0.757183571507463
-68.956922,12.015565,train,2.151248603885808E-4,75.51633194914223,0.6319598859955106
-82.00032,9.382898,train,2.0661941433278762E-4,73.50055152349589,0.6225283963727829
-96.031576,19.308102,train,4.201428586776126E-5,4.9344422418164156,0.2511337138809761
-96.060338,19.357519,train,4.286709913868482E-5,5.174595078943705,0.25493174086003956
-88.197802,16.922759,train,1.6214046813170098E-4,59.67168091983452,0.5641146901321641
-88.038677,16.528759,train,1.6815798047119327E-4,61.4886669391593,0.5730532325616823
-96.182695,19.37853,train,3.998692836402133E-5,4.384096981582044,0.24194747637134026
-61.623294,17.144814,train,6.126017649649502E-5,18.625907688336813,0.3283946863400637
-61.660226,17.058412,train,6.142349822653013E-5,18.84426834412662,0.32898217015904685
-60.91307,14.41821,train,6.137888026443369E-5,18.79411890822797,0.3288217771624917
-60.757731,11.346961,train,1.3554381629745838E-4,53.30435087056422,0.5196674304521686
-86.879513,20.861208,train,5.589063967906657E-4,96.68604990141519,0.8168870094421902
-87.372123,18.480497,train,5.822656960023814E-4,97.25054599461731,0.8229323657649322
-96.013216,19.168697,train,4.111022107890253E-5,4.6876095338813695,0.24706492536786473
-96.116726,19.211654,train,4.0339631954803E-5,4.465831142487051,0.243561784354816
-95.984807,19.119574,train,4.097794548174378E-5,4.647709283520948,0.24646590178144456
-95.808644,19.160518,train,4.253074578984834E-5,5.077422805020145,0.2534383921719509
-87.319435,18.455739,train,5.439129271371609E-4,96.25743898088503,0.8127843332282424
-60.93,10.84,train,9.188106876684492E-5,38.358739994243585,0.4230928655834985
-64.548641,18.508115,train,6.344385001033651E-5,21.3377211252987,0.33616548069487373
-61.868611,17.406111,train,5.980043589347158E-5,16.779577726960852,0.32309781429164897
-87.022267,20.314569,train,6.576745085090048E-4,98.78060368517163,0.8399862156961402
-65.994111,12.148472,train,1.0870206504152492E-4,44.99584665546287,0.4645660411700842
-68.82922,11.44112,train,2.2632445227861584E-4,77.91869506262296,0.6436828605186098
